kind,label,g3_alone,g4_alone,g3_add,g4_add,nb,randleg,sig_lnwb_add,sig_lnwc_add,sig_ns_add,sig_lns8_add
pair,rQ3+xdQ3,2.7419,3.6352,5.6945,10.3094,90,1,3.7251e-04,8.5095e-04,5.9808e-03,8.2965e-03
pair,rQ3+xdQ2,1.7095,1.8932,5.6449,8.7915,90,1,3.3138e-04,7.8003e-04,7.0801e-03,9.5384e-03
pair,dQ3+rQ2,1.8844,1.8989,5.5623,9.7600,90,1,3.5304e-04,7.8060e-04,7.4064e-03,6.9072e-03
pair,rQ2+rQ3,1.1903,0.4996,5.3974,6.5584,90,1,3.3168e-04,7.0524e-04,8.6944e-03,1.0581e-02
pair,rQ2+xdQ2,2.0470,1.6526,5.3677,7.8324,90,1,3.3910e-04,7.8923e-04,7.6609e-03,8.8382e-03
pair,rQ3+xrQ2,1.3292,0.9737,5.3509,6.9247,90,1,3.4601e-04,7.9683e-04,7.9765e-03,1.0260e-02
pair,dQ2+rQ3,1.2322,1.0476,5.2202,8.0932,90,1,3.5736e-04,8.3348e-04,6.4389e-03,9.6970e-03
single,xdQ1,0.5565,0.3591,5.1344,6.3760,60,0,3.2822e-04,8.4267e-04,8.3153e-03,1.0240e-02
pair,dQ3+rQ3,1.9718,2.1280,5.0803,9.1708,90,1,3.8948e-04,8.2475e-04,7.0022e-03,7.8448e-03
pair,dQ3+xdQ3,2.1110,3.0672,5.0543,8.7577,90,0,3.6093e-04,1.0114e-03,6.3040e-03,7.7154e-03
single,xdQ4,0.8434,0.8624,5.0117,6.5733,60,0,3.1664e-04,8.4366e-04,8.5120e-03,9.8553e-03
single,xrQ3,0.4825,0.2368,4.3122,5.7387,60,1,3.6433e-04,9.1860e-04,7.2772e-03,1.0249e-02
single,dQ4,0.6716,0.6475,4.1008,5.5684,60,0,3.3096e-04,9.7648e-04,8.3660e-03,9.9537e-03
single,dQ1,0.4563,0.2063,3.9386,4.6676,60,0,4.1737e-04,1.0673e-03,7.6579e-03,1.1266e-02
single,rQ1,0.3045,0.0864,3.8483,4.3190,60,1,3.6602e-04,9.5281e-04,9.8662e-03,1.2288e-02
single,xrQ2,0.4402,0.2098,3.3670,3.8507,60,1,3.9736e-04,9.9922e-04,9.3425e-03,1.1624e-02
single,xdQ2,0.5278,0.3635,3.2984,4.1772,60,0,3.8867e-04,1.0568e-03,8.0718e-03,1.0831e-02
single,xdQ3,1.0369,1.0926,3.1620,4.8210,60,0,4.5997e-04,1.1947e-03,6.7400e-03,9.3451e-03
single,dQ2,0.3471,0.1562,3.0639,3.9680,60,0,4.2701e-04,1.0901e-03,6.9686e-03,1.0913e-02
single,dQ3,0.6588,0.5628,2.8062,4.5451,60,0,4.9012e-04,1.1898e-03,8.0347e-03,8.4942e-03
single,rQ2,0.2924,0.0780,2.7442,3.0926,60,1,4.1656e-04,1.0486e-03,9.8897e-03,1.1270e-02
single,rQ3,0.2107,0.0649,2.6878,3.2046,60,1,4.1723e-04,9.4924e-04,1.0247e-02,1.1734e-02
